Entry	Mass	Gene names  (ordered locus )	Subunit structure [CC]
P0A832	18,269	b2620 JW2601	SUBUNIT: Binds tmRNA (PubMed:10393194, PubMed:11904185, PubMed:11917023, PubMed:15699355, PubMed:20940705, PubMed:22622583). The SmpB-tmRNA complex binds to stalled ribosomes (PubMed:10393194, PubMed:11917023, PubMed:15699355, PubMed:20940705, PubMed:22622583). {ECO:0000269|PubMed:10393194, ECO:0000269|PubMed:11904185, ECO:0000269|PubMed:11917023, ECO:0000269|PubMed:15069072, ECO:0000269|PubMed:15699355, ECO:0000269|PubMed:20940705, ECO:0000269|PubMed:22622583}.
P21507	49,914	b2576 JW2560	SUBUNIT: Interacts with the 50S ribosomal subunit. Forms a complex with the 50S ribosomal proteins L4 and L24, and a region near the 5'-end of 23S rRNA. {ECO:0000255|HAMAP-Rule:MF_00967, ECO:0000269|PubMed:19734346}.
P00956	104,297	b0026 JW0024	SUBUNIT: Monomer.
P0A8F8	76,226	b0779 JW0762	SUBUNIT: Forms a heterotetramer with UvrA during the search for lesions. Interacts with UvrC in an incision complex.
P03018	81,990	b3813 JW3786	
P60472	28,444	b0174 JW0169	SUBUNIT: Homodimer. {ECO:0000269|PubMed:11581264, ECO:0000269|PubMed:12756244, ECO:0000269|PubMed:15044730, ECO:0000269|PubMed:15788389, ECO:0000269|PubMed:17535895, ECO:0000269|PubMed:21294851}.
P43672	72,067	b0949 JW0932	
P0A698	103,868	b4058 JW4019	SUBUNIT: Forms a heterotetramer with UvrB during the search for lesions (By similarity). Interacts with TRCF (Mfd). UvrB and TRCF binding to UvrA could be mutually exclusive. {ECO:0000255|HAMAP-Rule:MF_00205, ECO:0000269|PubMed:22331906}.
P0A8F0	22,533	b2498 JW2483	SUBUNIT: Homodimer or homotrimer in the absence of substrates, and homopentamer or homohexamer in the presence of substrates. {ECO:0000269|PubMed:8856065}.
P56976	4,556	b4409 JW5963	SUBUNIT: Interacts with FtsL and several other divisomal proteins, including FtsI, FtsK, FtsN, FtsQ, FtsW and YmgF. {ECO:0000269|PubMed:22885295}.
P0A6E9	24,981	b1593 JW5264	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00336}.
P0AE63	8,945	b1217 JW1208	SUBUNIT: Monomer. {ECO:0000250|UniProtKB:P0AE65}.
P30192	33,808	b4573 JW1227/JW5883	
P27294	25,296	b2237 JW2231	
P0AD86	2,138	b0001 JW4367	
P0ADF3	3,750	b3782 JW3755	
P37095	46,180	b2523 JW2507	SUBUNIT: Homohexamer. {ECO:0000255|HAMAP-Rule:MF_00504}.
P36938	58,361	b0688 JW0675	
P0A7C6	24,570	b4021 JW3981	
P69434	92,207	b1024 JW1010	
P75906	77,413	b1023 JW5142	
P75905	50,766	b1022 JW1007	
P77528	8,493	b4508	
P69432	16,082	b1021 JW1006	
P25906	30,706	b1406 JW1403	
P60782	22,193	b3059 JW3031	SUBUNIT: Probably interacts with PlsX. {ECO:0000250}.
P29745	44,923	b1127 JW1113	SUBUNIT: Homodimer. {ECO:0000305|PubMed:16021622}.
P05459	41,368	b2320 JW2317	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_01825}.
P23842	83,524	b2395 JW5391	
P77473	58,720	b0457 JW5062	
P32701	60,801	b4061 JW4022	
P76261	59,711	b1815 JW1804	
P75995	56,906	b1168 JW5174	
P37646	29,601	b3525 JW3493	
P75800	90,049	b0833 JW0817	
P37649	74,381	b3529 JW5943	
P76446	58,588	b2176 JW2164	
P77334	74,665	b1285 JW1278	SUBUNIT: Interacts with DgcM and MlrA. {ECO:0000269|PubMed:23708798}.
P0ACL9	29,425	b0113 JW0109	
Q46806	51,025	b2873 JW2841	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:11092864}.
P76002	14,906	b1178 JW1167	
P27247	38,214	b1090 JW5156	SUBUNIT: Homodimer. Probably interacts with PlsY. {ECO:0000255|HAMAP-Rule:MF_00019}.
P52647	128,824	b1378 JW1372	
P37590	9,871	b2259 JW2254	
G3MTW7	3,465	b4703 JW4072.1	
P0AC86	93,173	b3428 JW3391	
P23830	52,802	b2585 JW2569	SUBUNIT: Multimeric. Interacts with ACP, YbgC and PlsB, forming altogether a complex at the inner membrane. {ECO:0000269|PubMed:16294310}.
P77439	92,130	b2383 JW2380	
P39452	80,479	b2675 JW2650	SUBUNIT: Tetramer of two alpha and two beta subunits. {ECO:0000250}.
P30852	40,955	b4473 JW5708	
P39902	19,348	b2944 JW2911	
P0ACA3	24,305	b3229 JW3198	
P0AED5	23,893	b1914 JW1899	
P42604	54,093	b3091 JW3062	
P0A6L7	54,808	b1521 JW1514	
P42597	19,483	b3085 JW5514	
P0A8G3	53,987	b3092 JW3063	
P24215	44,838	b4322 JW4285	
P46888	15,633	b1895 JW1884	
P0AAB8	16,293	b3923 JW3894	
P0AAC0	35,707	b1333 JW1327	
P37903	16,017	b1376 JW1370	SUBUNIT: Homodimer. {ECO:0000305}.
P39177	15,935	b0607 JW0600	SUBUNIT: Interacts with GroEL (PubMed:12071968). Forms homodimers, mediated by the C-terminus of the protein (PubMed:16460009). {ECO:0000269|PubMed:12071968, ECO:0000269|PubMed:16460009}.
P32716	36,908	b4082 JW4043	SUBUNIT: Could be part of a tripartite efflux system composed of MdtN, MdtO and MdtP.
P38051	48,765	b2265 JW2260	SUBUNIT: Homodimer. {ECO:0000269|PubMed:9150206}.
P16384	35,065	b4171 JW4129	SUBUNIT: Monomer. Binds to tRNA(Phe). {ECO:0000269|PubMed:19158097, ECO:0000269|PubMed:9012675, ECO:0000269|PubMed:9148919}.
P64606	27,863	b3194 JW3161	SUBUNIT: The complex is composed of two ATP-binding proteins (MlaF), two transmembrane proteins (MlaE), two cytoplasmic solute-binding proteins (MlaB) and six periplasmic solute-binding proteins (MlaD). {ECO:0000269|PubMed:27529189, ECO:0000269|PubMed:28388411, ECO:0000305|PubMed:19383799}.
P13669	28,273	b0730 JW0719	
P28224	12,568	b1639 JW1631	SUBUNIT: Monomer. {ECO:0000269|PubMed:16937244}.
P46022	27,342	b3208 JW3175	SUBUNIT: Interacts with FtsI, FtsW and FtsN. {ECO:0000269|PubMed:18165305}.
P68739	24,673	b3998 JW5547	SUBUNIT: Monomer. {ECO:0000269|PubMed:8206931}.
P62517	96,937	b1049 JW1037	
P42641	43,286	b3183 JW3150	SUBUNIT: Monomer. Binds to the intersubunit face of the 50S ribosomal subunit where translation factors bind, protruding into the peptidyl-transfer center, leading to significant changes in both ObgE and 50S ribosome structure (PubMed:24844575). Associates with SpoT (PubMed:15292126, PubMed:17616600). Binding to 50S ribosomes does not require SpoT. 50S ribosomal subunit binding is enhanced by guanosine nucleotides (PubMed:24844575). {ECO:0000269|PubMed:11555285, ECO:0000269|PubMed:15292126, ECO:0000269|PubMed:15836769, ECO:0000269|PubMed:17616600, ECO:0000269|PubMed:24844575}.
P33599	68,236	b2286 JW5375	SUBUNIT: NDH-1 is composed of 13 different subunits. Subunits NuoB, CD, E, F, and G constitute the peripheral sector of the complex.
P0AFC3	16,457	b2288 JW2283	SUBUNIT: NDH-1 is composed of 13 different subunits. Subunits NuoA, H, J, K, L, M, N constitute the membrane sector of the complex.
P09546	143,815	b1014 JW0999	SUBUNIT: Homodimer. {ECO:0000269|PubMed:12514740}.
P76079	27,877	b1390 JW1385	SUBUNIT: Forms a stable heterotetramer (dimer of heterodimers) with PaaA and a stable heterodimer with PaaB. {ECO:0000269|PubMed:20823522, ECO:0000269|PubMed:21247899, ECO:0000269|Ref.8}.
P77756	25,514	b0444 JW0434	
P60240	109,769	b0059 JW0058	SUBUNIT: Interacts with the RNAP. Has a higher affinity for the core RNAP than for the holoenzyme. Its ATPase activity is stimulated by binding to RNAP (By similarity). {ECO:0000250}.
P06999	32,456	b1723 JW5280	SUBUNIT: Homodimer. {ECO:0000269|PubMed:18762190, ECO:0000269|PubMed:21147773, ECO:0000269|PubMed:23823238, ECO:0000269|Ref.10, ECO:0000269|Ref.11}.
P0A8V0	32,930	b2268 JW2263	SUBUNIT: Homodimer. {ECO:0000269|PubMed:15764599, ECO:0000269|PubMed:16452444}.
P13960	10,261		
P0A894	32,492	b3205 JW3172	SUBUNIT: Homotrimer (PubMed:23385747). Interacts with the small RNAs GlmY and GlmZ (PubMed:23475961). Interacts with the catalytic domain of RNase E in an RNA-independent manner (PubMed:23475961). {ECO:0000269|PubMed:23385747, ECO:0000269|PubMed:23475961}.
P0AAZ4	49,626	b0892 JW0875	SUBUNIT: Homotetramer. Interacts with the single-stranded DNA-binding protein (ssb). {ECO:0000269|PubMed:21297161}.
P27844	33,283	b3819 JW5589	
P0A7G2	15,154	b3167 JW3136	SUBUNIT: Monomer (PubMed:12628255). Binds 30S but not 50S or 70S ribosomes (PubMed:7535280, PubMed:12963368, PubMed:25904134). Binds equally well to mature and immature 30S ribosomes, but is more stably associated with immature 30S ribosomes (PubMed:21102555). {ECO:0000269|PubMed:12628255, ECO:0000269|PubMed:21102555}.
P16678	27,831	b4097 JW5727	SUBUNIT: Forms a complex with PhnG, PhnH, PhnI and PhnJ with the suggested composition PhnG(4)H(2)I(2)J(2)K. {ECO:0000269|PubMed:21705661}.
P16688	31,845	b4098 JW4059	SUBUNIT: Forms a complex with PhnG, PhnH, PhnI and PhnK with the suggested composition PhnG(4)H(2)I(2)J(2)K. {ECO:0000269|PubMed:21705661}.
P25889	45,069	b2147 JW2134	SUBUNIT: Heterotetramer of 2 PreA and 2 PreT subunits. {ECO:0000269|PubMed:21169495}.
P22564	32,561	b0030 JW0028	
P27127	40,826	b3628 JW3603	
P0AFW8	9,480	b0189 JW0184	
P0AFW0	18,340	b3842 JW3818	SUBUNIT: Interacts with both the nontemplate DNA and the RNA polymerase (RNAP). Monomer in solution. {ECO:0000255|HAMAP-Rule:MF_00951, ECO:0000269|PubMed:12007406, ECO:0000269|PubMed:17434131}.
P25742	38,731	b3632 JW3607	
P05824	61,396	b2616 JW5416	
P0ADY3	13,541	b3310 JW3272	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:352727, PubMed:7556101, PubMed:2665813, PubMed:10094780, PubMed:10756104, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). Contacts L19 (PubMed:2665813, PubMed:16272117). Forms two bridges to the 30S subunit in the 70S ribosome, contacting the 16S rRNA. Can also contact RsfS, which then probably inhibits ribosomal subunit association. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:10756104, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:151587, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:2665813, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:352727, ECO:0000269|PubMed:7556101}.
P0C018	12,770	b3304 JW3266	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:1098937, PubMed:10094780, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161); part of the 5S rRNA/L5/L18/L25 subcomplex (PubMed:354687, PubMed:353728, PubMed:109811, PubMed:6159586, PubMed:7038683, PubMed:8925931). Contacts the 5S and 23S rRNAs. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:109811, ECO:0000269|PubMed:1098937, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:353728, ECO:0000269|PubMed:354687, ECO:0000269|PubMed:6159586, ECO:0000269|PubMed:7038683, ECO:0000269|PubMed:8925931}.
P13445	37,972	b2741 JW5437	SUBUNIT: Interacts with the RNA polymerase core enzyme and RssB. {ECO:0000255|HAMAP-Rule:MF_00959, ECO:0000269|PubMed:10339606, ECO:0000269|PubMed:10672187}.
P46849	35,903	b4475 JW5688	
P38105	36,564	b1580 JW1572	
P07118	108,192	b4258 JW4215	SUBUNIT: Monomer.
P00954	37,438	b3384 JW3347	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_00140}.
P0A8L1	48,414	b0893 JW0876	SUBUNIT: Homodimer (PubMed:7537870). The tRNA molecule binds across the dimer, one part binds the N-terminus of the first SerRS subunit and the other part to the active site of the second subunit (PubMed:7537870). {ECO:0000269|PubMed:7537870, ECO:0000269|PubMed:8508916}.
P00959	76,255	b2114 JW2101	SUBUNIT: Homodimer. {ECO:0000269|PubMed:11243794}.
P16659	63,693	b0194 JW0190	SUBUNIT: Homodimer.
P11875	64,683	b1876 JW1865	SUBUNIT: Monomer.
P0AF96	16,865	b4252 JW5756	
P30958	129,983	b1114 JW1100	SUBUNIT: Monomer. Interacts with UvrA and RNAP. {ECO:0000269|PubMed:12086674, ECO:0000269|PubMed:22331906, ECO:0000269|PubMed:7876261, ECO:0000269|PubMed:8465200}.
P37355	27,682	b2263 JW2258	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_01660, ECO:0000269|PubMed:18284213}.
P0AEZ7	49,417	b0211 JW5018	
P0AD65	70,857	b0635 JW0630	
P76346	30,279	b1976 JW1958	SUBUNIT: Interacts with Mlc with high affinity. {ECO:0000269|PubMed:16855233}.
P33934	31,874	b2204 JW2192	SUBUNIT: Interacts with NapC. {ECO:0000269|PubMed:14674886}.
P38489	23,905	b0578 JW0567	SUBUNIT: Homodimer. {ECO:0000269|PubMed:11020276, ECO:0000269|PubMed:11491290, ECO:0000269|PubMed:12954054, ECO:0000269|PubMed:15684426}.
P16690	20,730	b4094 JW4055	
P16686	21,027	b4100 JW4061	SUBUNIT: Homodimer. Forms a complex with PhnG, PhnI, PhnJ and PhnK with the suggested composition PhnG(4)H(2)I(2)J(2)K. {ECO:0000269|PubMed:17993513, ECO:0000269|PubMed:21705661}.
P08722	66,483	b3722 JW3700	
P42905	13,721	b3134	
P76469	28,916	b2245 JW2239	SUBUNIT: Homohexamer. {ECO:0000269|PubMed:18754683}.
P08394	133,959	b2820 JW2788	SUBUNIT: Heterotrimer of RecB, RecC and RecD. All subunits contribute to DNA-binding. The C-terminus interacts with RecA (PubMed:16483938). Interacts with YgbT (Cas1) (PubMed:21219465). {ECO:0000269|PubMed:15538360, ECO:0000269|PubMed:1618858, ECO:0000269|PubMed:16483938, ECO:0000269|PubMed:18668125, ECO:0000269|PubMed:21219465, ECO:0000269|PubMed:3526335, ECO:0000269|PubMed:4552016, ECO:0000269|PubMed:9448271}.
P07648	128,848	b2822 JW2790	SUBUNIT: Heterotrimer of RecB, RecC and RecD. All subunits contribute to DNA-binding. Interacts with YgbT (Cas1) (PubMed:21219465). {ECO:0000255|HAMAP-Rule:MF_01486, ECO:0000269|PubMed:15538360, ECO:0000269|PubMed:1618858, ECO:0000269|PubMed:18668125, ECO:0000269|PubMed:21219465, ECO:0000269|PubMed:3526335, ECO:0000269|PubMed:4552016, ECO:0000269|PubMed:9448271}.
P00579	70,263	b3067 JW3039	SUBUNIT: Interacts transiently with the RNA polymerase catalytic core formed by RpoA, RpoB, RpoC and RpoZ (2 alpha, 1 beta, 1 beta' and 1 omega subunit) to form the RNA polymerase holoenzyme that can initiate transcription. Identified in a complex containing RpoD, the RNA polymerase subunits RpoA, RpoB and RpoZ, CRP and DNA. Interacts with Rsd; this prevents interaction with the RNA polymerase catalytic core and with promoter DNA, and as a consequence, promotes transcription from promoters that require alternative sigma factors. Interacts with phage T4 AsiA; this interferes with binding to DNA and to the RNA polymerase. {ECO:0000255|HAMAP-Rule:MF_00963, ECO:0000269|PubMed:15257291, ECO:0000269|PubMed:17681541, ECO:0000269|PubMed:19903881, ECO:0000269|PubMed:21829166, ECO:0000269|PubMed:23389035, ECO:0000269|PubMed:24843001}.; SUBUNIT: (Microbial infection) Interacts with Escherichia phage lambda antitermination protein Q. {ECO:0000269|PubMed:24440517}.
P0A8V2	150,632	b3987 JW3950	SUBUNIT: The RNAP catalytic core consists of 2 alpha, 1 beta, 1 beta' and 1 omega subunit. When a sigma factor is associated with the core the holoenzyme is formed, which can initiate transcription. The rRNA transcription and antitermination complex (rrnTAC) consists of RNAP, NusA, NusB, NusE (rpsJ), NusG, SubB, ribosomal protein S4, DNA and precursor rRNA; S4 is more flexible than other subunits (PubMed:32871103). {ECO:0000269|PubMed:1646077, ECO:0000269|PubMed:19903881, ECO:0000269|PubMed:24843001, ECO:0000269|PubMed:32871103}.; SUBUNIT: (Microbial infection) Interacts (via flap domain) with Escherichia phage lambda antitermination protein Q; this interaction renders bacterial RNAP resistant to transcription pausing and allows it to read through termination signals. {ECO:0000269|PubMed:18832144, ECO:0000269|PubMed:32313022}.; SUBUNIT: (Microbial infection) Interacts (via flap domain) with the late transcription coactivator of enterobacteria phage T4. {ECO:0000269|PubMed:22135460}.
P0AG67	61,158	b0911 JW0894	SUBUNIT: Part of the 30S ribosomal subunit; the largest protein subunit, it is loosely associated and rarely found in ribosomal crystal structures (PubMed:7041110, PubMed:7003157, PubMed:778845, PubMed:342903). Does not bind rRNA. Probably requires ribosomal protein S2 to associate with the 30S subunit (PubMed:12068815). Binds in the junction of the head, platform and main body of the 30S subunit; the N-terminus penetrates the 30S subunit while the C-terminus faces ribosomal protein S2 (PubMed:11593008). Nascent polypeptide chains cross-link this protein in situ (PubMed:9716382). Can be cross-linked to mRNA in the ribosome (PubMed:1712292). In case of infection by bacteriophage Qbeta, part of the viral RNA-dependent RNA polymerase complex, the other subunits are the viral replicase catalytic subunit (AC P14647), host EF-Tu and EF-Ts (PubMed:816798, PubMed:6358207, PubMed:25122749). {ECO:0000269|PubMed:11593008, ECO:0000269|PubMed:12068815, ECO:0000269|PubMed:1712292, ECO:0000269|PubMed:25122749, ECO:0000269|PubMed:342903, ECO:0000269|PubMed:6358207, ECO:0000269|PubMed:7003157, ECO:0000269|PubMed:7041110, ECO:0000269|PubMed:778845, ECO:0000269|PubMed:816798, ECO:0000269|PubMed:9716382}.
P30744	48,753	b2797 JW2768	
P05719	51,395	b4348 JW4311	SUBUNIT: The type I restriction/modification system is composed of three polypeptides R, M and S (PubMed:6255295). The restriction enzyme has stoichiometry R(2)M(2)S(1) (PubMed:9033396). The methyltransferase is composed of M(2)S(1) (PubMed:8514761, PubMed:9033396, PubMed:19074193). {ECO:0000269|PubMed:19074193, ECO:0000269|PubMed:6255295, ECO:0000269|PubMed:8514761, ECO:0000269|PubMed:9033396}.; SUBUNIT: (Microbial infection) Interacts with Escherichia phage T7 protein Ocr; this interaction leads to the inhibition of the methyltransferase restriction enzyme M.EcoKI composed of M(2)S(1). {ECO:0000269|PubMed:19074193}.
P23173	45,211	b3709 JW5619/JW5622	
P62558	35,372	ECOK12F047	
P77468	95,677	b0532 JW0521	
P0A905	15,602	b1641 JW1633	
P19934	43,157	b0739 JW0729	SUBUNIT: The Tol-Pal system is composed of five core proteins: the inner membrane proteins TolA, TolQ and TolR, the periplasmic protein TolB and the outer membrane protein Pal. They form a network linking the inner and outer membranes and the peptidoglycan layer (PubMed:17233825). TolA interacts with TolQ and TolR via its N-terminal domain (PubMed:7744737, PubMed:10419942). Interacts with CpoB, and with the trimeric porins OmpC, OmpF, PhoE and LamB via its central domain (PubMed:8978668, PubMed:11994151). Interacts with TolB via its C-terminal domain (PubMed:11994151). Also interacts with Pal via its C-terminal domain. This interaction is proton motive force dependent and requires TolQ and TolR (PubMed:11115123, PubMed:11722743). {ECO:0000269|PubMed:10419942, ECO:0000269|PubMed:11115123, ECO:0000269|PubMed:11722743, ECO:0000269|PubMed:11994151, ECO:0000269|PubMed:7744737, ECO:0000269|PubMed:8978668, ECO:0000305|PubMed:17233825}.
P14497	27,973	ECOK12F091	
P33790	102,472	ECOK12F099	
P15069	50,244	ECOK12F098	
P14565	192,016	ECOK12F104	SUBUNIT: Monomer. Part of the relaxosome, a complex composed of plasmid-encodes TraI, TraM, TraY and host-encoded IHF bound to the F plasmid origin of transfer (oriT). Directly contacts coupling protein TraD. Seems to directly contact TraM via its C-terminus. {ECO:0000269|PubMed:12637015, ECO:0000269|PubMed:14604527, ECO:0000269|PubMed:16984922, ECO:0000269|PubMed:17238924, ECO:0000269|PubMed:17630285}.
P06626	27,062	ECOK12F072	
P41066	25,627	ECOK12F077	
P08321	10,379	ECOK12F075	
P10026	14,507	ECOK12F071	SUBUNIT: Homotetramer. 2 homotetramers cooperatively bind to DNA although they do not contact each other; cooperativity is achieved by DNA kinking and unwinding (Probable). Part of the relaxosome, a complex composed of plasmid encoded TraI, TraM, TraY and host-encoded IHF which binds to the F plasmid origin of transfer (oriT) in a site- and sequence-specific manner. Interacts with TraD. Also interacts with TraY. {ECO:0000269|PubMed:15995191, ECO:0000269|PubMed:16710295, ECO:0000269|PubMed:17238924, ECO:0000269|PubMed:18717787, ECO:0000269|PubMed:21565799, ECO:0000269|PubMed:9324263, ECO:0000305}.
P0A855	45,956	b0740 JW5100	SUBUNIT: The Tol-Pal system is composed of five core proteins: the inner membrane proteins TolA, TolQ and TolR, the periplasmic protein TolB and the outer membrane protein Pal. They form a network linking the inner and outer membranes and the peptidoglycan layer (PubMed:17233825). TolB forms homodimers (PubMed:11994151). Interacts with the peptidoglycan-associated lipoprotein Pal and with the C-terminal region of TolA (PubMed:7744736, PubMed:11994151, PubMed:17375930, PubMed:19696740). Interacts with the trimeric porins OmpF, OmpC, PhoE and LamB (PubMed:9393690). Can form a complex with Pal, Lpp and OmpA (PubMed:9701827). Interacts with colicin E9 (PubMed:10673426, PubMed:16894158). {ECO:0000269|PubMed:10673426, ECO:0000269|PubMed:11994151, ECO:0000269|PubMed:16894158, ECO:0000269|PubMed:17375930, ECO:0000269|PubMed:19696740, ECO:0000269|PubMed:7744736, ECO:0000269|PubMed:9393690, ECO:0000269|PubMed:9701827, ECO:0000305|PubMed:17233825}.
P24082	65,715	ECOK12F089	SUBUNIT: Interacts with OmpA of recipient cells (Probable) (PubMed:16272376). Might form multimers (PubMed:16272376). May interact with TraG (Probable). {ECO:0000269|PubMed:16272376, ECO:0000305|PubMed:1593622, ECO:0000305|PubMed:9696748}.
P41068	21,961	ECOK12F079	
P18033	10,866	ECOK12F094	SUBUNIT: Interacts with pilin. {ECO:0000269|PubMed:10564517, ECO:0000269|PubMed:8095257}.
P41065	8,313	ECOK12F083	
P09129	19,518	ECOK12F100	
P13979	26,032	ECOK12F101	
P18471	36,787	ECOK12F087	
P41069	18,588	ECOK12F082	
P18472	23,630	ECOK12F086	
P22709	27,535	ECOK12F105	
P06627	15,183	ECOK12F073	SUBUNIT: Part of the relaxosome, a complex composed of plasmid encoded TraI, TraM, TraY and host-encoded IHF bound to the F plasmid origin of transfer (oriT). Interacts with TraM, probably through its C-terminus. {ECO:0000269|PubMed:17238924, ECO:0000269|PubMed:8152370}.
P0A850	48,193	b0436 JW0426	SUBUNIT: Homodimer and monomer. In vivo most of the ribosomes are in complex with monomeric TF (PubMed:12452438); binding as a dimer has also been suggested (PubMed:12581648). Uncomplexed TF is in a monomer-dimer equilibrium with approximately two thirds of TF existing in a dimeric state; binding to substrate PhoA induces monomerization, 3 TF monomers bind somewhat independently to a single substrate molecule (PubMed:12452438, PubMed:24812405). TF and SRP can simultaneously bind to ribosomes; TF binding is abolished when SRP is bound to FtsY in the presence of a non-hydrolyzable GTP analog (PubMed:15148364). Contacts ribosomal proteins L23 and L29 (PubMed:12226666). {ECO:0000269|PubMed:12226666, ECO:0000269|PubMed:12452438, ECO:0000269|PubMed:12581648, ECO:0000269|PubMed:15148364, ECO:0000269|PubMed:24812405}.
A5A627	3,222	b4618 JW3649	
P07000	38,978	b3825 JW5584	
P16684	27,621	b4102 JW4063	
P0AG16	56,488	b2312 JW2309	SUBUNIT: Homotetramer. {ECO:0000269|PubMed:9514258}.
P76161	27,926	b1559 JW1551	
P15032	96,368	b1350 JW1344	SUBUNIT: Homotetramer.
P0AEV1	37,302	b1235 JW1223	SUBUNIT: Binds to RpoS with a stoichiometry of 1:1. Interacts with the anti-adapter proteins IraP, IraD and IraM. {ECO:0000255|HAMAP-Rule:MF_00958, ECO:0000269|PubMed:10339606, ECO:0000269|PubMed:10672187, ECO:0000269|PubMed:11442836, ECO:0000269|PubMed:16600914, ECO:0000269|PubMed:18383615, ECO:0000269|PubMed:24352426}.
P52108	26,704	b1608 JW1600	
P18392	49,283	b1609 JW1601	
P75892	45,557	b1006 JW5137	
P0ACM2	26,565	b1540 JW1533	
P0AA43	25,865	b2183 JW2171	SUBUNIT: Monomer.
P0A766	20,898	b1627 JW1619	SUBUNIT: The complex is composed of six subunits: RsxA, RsxB, RsxC, RsxD, RsxE and RsxG. {ECO:0000255|HAMAP-Rule:MF_00459, ECO:0000305|PubMed:12773378}.
P46850	45,222	b3421 JW3384	SUBUNIT: Monomer. {ECO:0000269|PubMed:21224389}.
P39406	37,625	b4371 JW4333	SUBUNIT: Monomer. {ECO:0000269|PubMed:17576679}.
P77223	20,544	b1628 JW1620	SUBUNIT: The complex is composed of six subunits: RsxA, RsxB, RsxC, RsxD, RsxE and RsxG. {ECO:0000255|HAMAP-Rule:MF_00463, ECO:0000305|PubMed:12773378}.
P77611	80,172	b1629 JW1621	SUBUNIT: The complex is composed of six subunits: RsxA, RsxB, RsxC, RsxD, RsxE and RsxG. {ECO:0000255|HAMAP-Rule:MF_00461, ECO:0000305|PubMed:12773378}.
P0A6U5	23,431	b3740 JW3718	
